"MutantName","Test1","Test2","Test3","Test4","Test5","Test6","Test7","Test8","Test9","Test10","Test11","Test12","Test13","Test14","Test15","Test16","Test17","Test18","Test19","Test20","Test21","Test22","Test23","Test24","Test25","Test26","Test27","Test28","Test29","Test30","Test31","Test32","Test33","Test34","Test35","Test36","Test37","Test38","Test39","Test40","Test41","Test42","Test43","Test44","Test45","Test46","Test47","Test48","Test49","Test50","Test51","Test52","Test53","Test54","Test55","Test56","Test57","Test58","Test59","Test60","Test61","Test62","Test63","Test64","Test65","Test66","Test67","Test68","Test69","Test70","Test71","Test72","Test73","Test74","Test75","Test76","Test77","Test78","Test79","Test80","Test81","Test82","Test83","Test84","Test85","Test86","Test87","Test88","Test89","Test90","Test91","Test92","Test93","Test94","Test95","Test96","Test97","Test98","Test99","Test100","Test101","Test102","Test103","Test104","Test105","Test106","Test107","Test108","Test109","MutantKilled?"
"REMNODE1","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Yes"
"REMNODE2","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"REMNODE3","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Fail","Fail","Pass","Yes"
"REMNODE4","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"REMNODE5","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","No"
"REMNODE6","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"REMNODE7","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"REMNODE8","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Fail","Pass","Pass","Pass","Yes"
"REMNODE9","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"REMNODE10","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Yes"
