"MutantName","Test1","Test2","Test3","Test4","Test5","Test6","Test7","Test8","Test9","Test10","Test11","Test12","Test13","Test14","Test15","Test16","Test17","Test18","Test19","Test20","Test21","Test22","Test23","Test24","Test25","Test26","Test27","Test28","Test29","Test30","Test31","Test32","Test33","Test34","Test35","MutantKilled?"
"REMNODE1","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","No"
"REMNODE2","Fail","Fail","Pass","Fail","Pass","Fail","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Yes"
"REMNODE3","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Yes"
"REMNODE4","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","No"
"REMNODE5","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Yes"
"REMNODE6","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Yes"
"REMNODE7","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"REMNODE8","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Yes"
"REMNODE9","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"REMNODE10","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Yes"
"REMNODE11","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"REMNODE12","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Pass","Yes"
"REMNODE13","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Pass","Yes"
"REMNODE14","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"REMNODE15","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Fail","Pass","Pass","Fail","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Yes"
"REMNODE16","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
